timestamp_utc,run_id,script,stage,split,experiment_name,dataset_root,train_split,val_dataset_root,val_split,model_name,encoder_name,encoder_weights,pretrained_model_name,img_size,batch_size,epochs,lr,num_workers,seed,augmentation_profile,foreground_crop_prob,foreground_crop_min_scale,foreground_crop_max_scale,aux_negative_root,aux_negative_split,aux_negative_repeat,aux_negative_augmentation_profile,loss_name,pos_weight,tversky_alpha,tversky_beta,tversky_gamma,checkpoint_path,init_checkpoint_path,best_epoch,dataset_size,eval_threshold,postprocess_min_area,postprocess_max_fill_ratio,postprocess_min_aspect_ratio,postprocess_max_components,metric_loss,metric_iou,metric_f1,metric_precision,metric_recall,command
2026-04-23T18:18:51Z,2026-04-23T18:18:51Z_115151,train.py,val_best,val,unet_round1_512_fgstrong_ftversky,CRACK500,,,,Unet,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,512,8,30,0.0001,0,,strong,0.5,0.55,1.0,,,,,focal_tversky,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/unet_round1_512_fgstrong_ftversky.pth,,12,348,,,,,,0.13598382849802917,0.6356657144838366,0.766203314237211,,,train.py --dataset-root CRACK500 --model-name Unet --encoder-name resnet34 --img-size 512 --batch-size 8 --epochs 30 --lr 1e-4 --augmentation-profile strong --foreground-crop-prob 0.5 --foreground-crop-min-scale 0.55 --foreground-crop-max-scale 1.0 --loss-name focal_tversky --experiment-name unet_round1_512_fgstrong_ftversky --checkpoint-path checkpoints/unet_round1_512_fgstrong_ftversky.pth
2026-04-23T19:45:05Z,2026-04-23T19:45:05Z_131695,test.py,test,test,unet_round1_512_fgstrong_ftversky,CRACK500,,,,Unet,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,512,8,,,0,,,,,,,,,,focal_tversky,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/unet_round1_512_fgstrong_ftversky.pth,,,1124,,,,,,0.1753655811009458,0.5537530414998744,0.7070417707500933,,,test.py --dataset-root CRACK500 --split test --model-name Unet --encoder-name resnet34 --img-size 512 --batch-size 8 --loss-name focal_tversky --experiment-name unet_round1_512_fgstrong_ftversky --checkpoint-path checkpoints/unet_round1_512_fgstrong_ftversky.pth
2026-04-23T21:38:36Z,2026-04-23T21:38:36Z_152653,backfill_unet_baseline_records.py,val_best,val,unet_baseline_360,CRACK500,,,,Unet,resnet34,imagenet,,360,16,30,0.0001,0,,baseline,0.0,0.55,1.0,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/best_model.pth,,13,348,,,,,,0.3152857693447464,0.6545210480690002,0.7827880656582186,,,backfill_unet_baseline_records.py
2026-04-23T21:38:41Z,2026-04-23T21:38:41Z_152653,backfill_unet_baseline_records.py,test,test,unet_baseline_360,CRACK500,,,,Unet,resnet34,imagenet,,360,16,30,0.0001,0,,baseline,0.0,0.55,1.0,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/best_model.pth,,,1124,,,,,,0.40543941501196595,0.5680298268582897,0.7175488111387368,,,backfill_unet_baseline_records.py
2026-04-24T00:08:44Z,2026-04-24T00:08:44Z_178231,train.py,val_best,val,unet_ablate_res_512_only,CRACK500,,,,Unet,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,512,16,30,0.0001,0,,baseline,0.0,0.55,1.0,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/unet_ablate_res_512_only.pth,,9,348,,,,,,0.3606717884540558,0.6471451582579777,0.7777597294456657,,,train.py --dataset-root CRACK500 --model-name Unet --encoder-name resnet34 --encoder-weights imagenet --img-size 512 --batch-size 16 --epochs 30 --lr 1e-4 --num-workers 0 --augmentation-profile baseline --foreground-crop-prob 0.0 --loss-name bce_dice --experiment-name unet_ablate_res_512_only --checkpoint-path checkpoints/unet_ablate_res_512_only.pth
2026-04-24T00:09:03Z,2026-04-24T00:09:03Z_180511,test.py,test,test,unet_ablate_res_512_only,CRACK500,,,,Unet,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,512,16,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/unet_ablate_res_512_only.pth,,,1124,,,,,,0.4315404815605951,0.5737249933952114,0.7246750366221119,,,test.py --dataset-root CRACK500 --split test --model-name Unet --encoder-name resnet34 --encoder-weights imagenet --img-size 512 --batch-size 16 --num-workers 0 --loss-name bce_dice --experiment-name unet_ablate_res_512_only --checkpoint-path checkpoints/unet_ablate_res_512_only.pth
2026-04-24T03:07:25Z,2026-04-24T03:07:25Z_211816,train.py,val_best,val,unet_ablate_fgcrop_360_only,CRACK500,,,,Unet,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,16,30,0.0001,0,,baseline,0.5,0.55,1.0,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/unet_ablate_fgcrop_360_only.pth,,19,348,,,,,,0.31919337689191446,0.6629251125215114,0.7898757293306548,,,train.py --dataset-root CRACK500 --model-name Unet --encoder-name resnet34 --encoder-weights imagenet --img-size 360 --batch-size 16 --epochs 30 --lr 1e-4 --num-workers 0 --augmentation-profile baseline --foreground-crop-prob 0.5 --foreground-crop-min-scale 0.55 --foreground-crop-max-scale 1.0 --loss-name bce_dice --experiment-name unet_ablate_fgcrop_360_only --checkpoint-path checkpoints/unet_ablate_fgcrop_360_only.pth
2026-04-24T03:08:15Z,2026-04-24T03:08:15Z_214468,test.py,test,test,unet_ablate_fgcrop_360_only,CRACK500,,,,Unet,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,16,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/unet_ablate_fgcrop_360_only.pth,,,1124,,,,,,0.4124095291429567,0.5706941975393329,0.7212659784483315,,,test.py --dataset-root CRACK500 --split test --model-name Unet --encoder-name resnet34 --encoder-weights imagenet --img-size 360 --batch-size 16 --num-workers 0 --loss-name bce_dice --experiment-name unet_ablate_fgcrop_360_only --checkpoint-path checkpoints/unet_ablate_fgcrop_360_only.pth
2026-04-24T03:23:51Z,2026-04-24T03:23:51Z_215741,train.py,val_best,val,unet_ablate_loss_ftversky_360_fgcrop,CRACK500,,,,Unet,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,16,30,0.0001,0,,baseline,0.5,0.55,1.0,,,,,focal_tversky,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/unet_ablate_loss_ftversky_360_fgcrop.pth,,20,348,,,,,,0.12373478513682025,0.6397273656965672,0.7736260267509811,,,train.py --dataset-root CRACK500 --model-name Unet --encoder-name resnet34 --encoder-weights imagenet --img-size 360 --batch-size 16 --epochs 30 --lr 1e-4 --num-workers 0 --augmentation-profile baseline --foreground-crop-prob 0.5 --foreground-crop-min-scale 0.55 --foreground-crop-max-scale 1.0 --loss-name focal_tversky --tversky-alpha 0.3 --tversky-beta 0.7 --tversky-gamma 1.33 --experiment-name unet_ablate_loss_ftversky_360_fgcrop --checkpoint-path checkpoints/unet_ablate_loss_ftversky_360_fgcrop.pth
2026-04-24T03:47:28Z,2026-04-24T03:47:28Z_220978,train.py,val_best,val,unet_ablate_aug_mild_360_fgcrop,CRACK500,,,,Unet,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,16,30,0.0001,0,,mild,0.5,0.55,1.0,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/unet_ablate_aug_mild_360_fgcrop.pth,,21,348,,,,,,0.3051885465780894,0.6681217708806882,0.7943640748659769,,,train.py --dataset-root CRACK500 --model-name Unet --encoder-name resnet34 --encoder-weights imagenet --img-size 360 --batch-size 16 --epochs 30 --lr 1e-4 --num-workers 0 --augmentation-profile mild --foreground-crop-prob 0.5 --foreground-crop-min-scale 0.55 --foreground-crop-max-scale 1.0 --loss-name bce_dice --experiment-name unet_ablate_aug_mild_360_fgcrop --checkpoint-path checkpoints/unet_ablate_aug_mild_360_fgcrop.pth
